
SimulationName	Date	Day	Month	Year	JulianDay	idCell	idVoxel	x	y	z	theta	mineralNitrogenStock	cropRootDensity	cropWaterUptake	cropNitrogenUptake	totalTreeCoarseRootBiomass	totalTreeRootDensity	totalTreeWaterUptake	totalTreeNitrogenUptake	fineRootCost	colonisationDirection	treeCoarseRootBiomass	treeRootDensity
monocrop	1/8/1994	1	8	1994	213	1	1	5.00000e-01	5.00000e-01	1.00000e-01	1.53172e-01	2.35891e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/8/1994	1	8	1994	213	1	2	5.00000e-01	5.00000e-01	3.00000e-01	1.80953e-01	1.50000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/8/1994	1	8	1994	213	1	3	5.00000e-01	5.00000e-01	5.00000e-01	2.99513e-01	7.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/8/1994	1	8	1994	213	1	4	5.00000e-01	5.00000e-01	7.00000e-01	3.00000e-01	7.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/8/1994	1	8	1994	213	1	5	5.00000e-01	5.00000e-01	9.00000e-01	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/8/1994	1	8	1994	213	1	6	5.00000e-01	5.00000e-01	1.10000e+00	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/8/1994	1	8	1994	213	1	7	5.00000e-01	5.00000e-01	1.30000e+00	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/8/1994	1	8	1994	213	1	8	5.00000e-01	5.00000e-01	1.50000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/8/1994	1	8	1994	213	1	9	5.00000e-01	5.00000e-01	1.70000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/8/1994	1	8	1994	213	1	10	5.00000e-01	5.00000e-01	1.90000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/8/1994	1	8	1994	213	1	11	5.00000e-01	5.00000e-01	2.10000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/8/1994	1	8	1994	213	1	12	5.00000e-01	5.00000e-01	2.30000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/9/1994	1	9	1994	244	1	1	5.00000e-01	5.00000e-01	1.00000e-01	2.22253e-01	3.14292e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/9/1994	1	9	1994	244	1	2	5.00000e-01	5.00000e-01	3.00000e-01	1.62847e-01	1.50000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/9/1994	1	9	1994	244	1	3	5.00000e-01	5.00000e-01	5.00000e-01	2.98959e-01	7.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/9/1994	1	9	1994	244	1	4	5.00000e-01	5.00000e-01	7.00000e-01	3.00000e-01	7.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/9/1994	1	9	1994	244	1	5	5.00000e-01	5.00000e-01	9.00000e-01	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/9/1994	1	9	1994	244	1	6	5.00000e-01	5.00000e-01	1.10000e+00	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/9/1994	1	9	1994	244	1	7	5.00000e-01	5.00000e-01	1.30000e+00	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/9/1994	1	9	1994	244	1	8	5.00000e-01	5.00000e-01	1.50000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/9/1994	1	9	1994	244	1	9	5.00000e-01	5.00000e-01	1.70000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/9/1994	1	9	1994	244	1	10	5.00000e-01	5.00000e-01	1.90000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/9/1994	1	9	1994	244	1	11	5.00000e-01	5.00000e-01	2.10000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/9/1994	1	9	1994	244	1	12	5.00000e-01	5.00000e-01	2.30000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/10/1994	1	10	1994	274	1	1	5.00000e-01	5.00000e-01	1.00000e-01	2.87271e-01	9.12218e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/10/1994	1	10	1994	274	1	2	5.00000e-01	5.00000e-01	3.00000e-01	2.91468e-01	2.20278e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/10/1994	1	10	1994	274	1	3	5.00000e-01	5.00000e-01	5.00000e-01	3.26484e-01	2.30488e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/10/1994	1	10	1994	274	1	4	5.00000e-01	5.00000e-01	7.00000e-01	3.26491e-01	1.37983e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/10/1994	1	10	1994	274	1	5	5.00000e-01	5.00000e-01	9.00000e-01	3.39374e-01	7.23789e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/10/1994	1	10	1994	274	1	6	5.00000e-01	5.00000e-01	1.10000e+00	3.39374e-01	3.36960e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/10/1994	1	10	1994	274	1	7	5.00000e-01	5.00000e-01	1.30000e+00	3.39374e-01	2.19158e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/10/1994	1	10	1994	274	1	8	5.00000e-01	5.00000e-01	1.50000e+00	3.24964e-01	1.05631e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/10/1994	1	10	1994	274	1	9	5.00000e-01	5.00000e-01	1.70000e+00	3.24964e-01	5.50154e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/10/1994	1	10	1994	274	1	10	5.00000e-01	5.00000e-01	1.90000e+00	3.24964e-01	4.52286e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/10/1994	1	10	1994	274	1	11	5.00000e-01	5.00000e-01	2.10000e+00	3.24964e-01	4.36070e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/10/1994	1	10	1994	274	1	12	5.00000e-01	5.00000e-01	2.30000e+00	3.24964e-01	4.33559e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/11/1994	1	11	1994	305	1	1	5.00000e-01	5.00000e-01	1.00000e-01	2.77425e-01	4.62679e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/11/1994	1	11	1994	305	1	2	5.00000e-01	5.00000e-01	3.00000e-01	2.90479e-01	6.42236e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/11/1994	1	11	1994	305	1	3	5.00000e-01	5.00000e-01	5.00000e-01	3.26467e-01	1.26416e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/11/1994	1	11	1994	305	1	4	5.00000e-01	5.00000e-01	7.00000e-01	3.26491e-01	1.60022e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/11/1994	1	11	1994	305	1	5	5.00000e-01	5.00000e-01	9.00000e-01	3.39374e-01	1.62472e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/11/1994	1	11	1994	305	1	6	5.00000e-01	5.00000e-01	1.10000e+00	3.39374e-01	1.32096e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/11/1994	1	11	1994	305	1	7	5.00000e-01	5.00000e-01	1.30000e+00	3.39374e-01	9.55827e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/11/1994	1	11	1994	305	1	8	5.00000e-01	5.00000e-01	1.50000e+00	3.24964e-01	6.27326e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/11/1994	1	11	1994	305	1	9	5.00000e-01	5.00000e-01	1.70000e+00	3.24964e-01	4.11095e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/11/1994	1	11	1994	305	1	10	5.00000e-01	5.00000e-01	1.90000e+00	3.24964e-01	2.60975e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/11/1994	1	11	1994	305	1	11	5.00000e-01	5.00000e-01	2.10000e+00	3.24964e-01	1.65788e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/11/1994	1	11	1994	305	1	12	5.00000e-01	5.00000e-01	2.30000e+00	3.24964e-01	1.09662e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/12/1994	1	12	1994	335	1	1	5.00000e-01	5.00000e-01	1.00000e-01	2.73873e-01	8.19285e-01	1.73870e+03	1.60092e-03	1.01732e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
monocrop	1/12/1994	1	12	1994	335	1	2	5.00000e-01	5.00000e-01	3.00000e-01	2.87627e-01	4.52162e-01	7.52740e+02	1.98154e-03	5.68803e-04	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	error!	error!	error!
