SimulationName	SimulationDate	Date	Day	Month	Year	JulianDay	idZone	zoneName	idCell	x	y	cropSpeciesName	yieldMax	heightMax	biomassMax	laiMax	eaiMax	rootsDepthMax	cropMaxTemperature	cropMinTemperature	annualSoilEvaporation	annualCapillaryRise	annualDrainageBottom	annualDrainageArtificial	annualIrrigation	annualRunOff	annualSurfaceRunOff	annualWaterDemand	annualWaterUptakeByTrees	annualWaterUptakeByCrop	annualNitrogenDemand	annualNitrogenUptakeByTrees	annualNitrogenUptakeByCrop	annualNitrogenLeachingBottom	annualNitrogenLeachingWaterTable	annualDirectParIncident	annualDiffuseParIncident	annualDirectParIntercepted	annualDiffuseParIntercepted	
forestry	Fri Nov 07 14:35:37 CET 2025	31/12/2000	31	12	2000	366	1	main	1	0.0000000000000000e+00	2.0000000000000000e+00	baresoil	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05700e+01	-2.89000e+00	3.48046e+02	0.00000e+00	1.54628e+02	0.00000e+00	0.00000e+00	8.35600e+01	8.35600e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.34124e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
forestry	Fri Nov 07 14:35:37 CET 2025	31/12/2000	31	12	2000	366	1	main	2	1.0000000000000000e+00	2.0000000000000000e+00	baresoil	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05700e+01	-2.89000e+00	3.47397e+02	0.00000e+00	1.55270e+02	0.00000e+00	0.00000e+00	8.35600e+01	8.35600e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.35005e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
forestry	Fri Nov 07 14:35:37 CET 2025	31/12/2000	31	12	2000	366	1	main	3	2.0000000000000000e+00	2.0000000000000000e+00	baresoil	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05700e+01	-2.89000e+00	3.48046e+02	0.00000e+00	1.54627e+02	0.00000e+00	0.00000e+00	8.35600e+01	8.35600e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.34124e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
forestry	Fri Nov 07 14:35:37 CET 2025	31/12/2000	31	12	2000	366	1	main	4	0.0000000000000000e+00	1.0000000000000000e+00	baresoil	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05700e+01	-2.89000e+00	3.47228e+02	0.00000e+00	1.55449e+02	0.00000e+00	0.00000e+00	8.35600e+01	8.35600e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.35438e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
forestry	Fri Nov 07 14:35:37 CET 2025	31/12/2000	31	12	2000	366	1	main	5	1.0000000000000000e+00	1.0000000000000000e+00	baresoil	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05700e+01	-2.89000e+00	3.43205e+02	0.00000e+00	1.03376e+02	0.00000e+00	0.00000e+00	8.33965e+01	8.33965e+01	0.00000e+00	5.36280e+01	0.00000e+00	0.00000e+00	3.29952e+01	0.00000e+00	7.82144e-01	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
forestry	Fri Nov 07 14:35:37 CET 2025	31/12/2000	31	12	2000	366	1	main	6	2.0000000000000000e+00	1.0000000000000000e+00	baresoil	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05700e+01	-2.89000e+00	3.47227e+02	0.00000e+00	1.55449e+02	0.00000e+00	0.00000e+00	8.35600e+01	8.35600e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.35438e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
forestry	Fri Nov 07 14:35:37 CET 2025	31/12/2000	31	12	2000	366	1	main	7	0.0000000000000000e+00	0.0000000000000000e+00	baresoil	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05700e+01	-2.89000e+00	3.48573e+02	0.00000e+00	1.54102e+02	0.00000e+00	0.00000e+00	8.35600e+01	8.35600e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.33401e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
forestry	Fri Nov 07 14:35:37 CET 2025	31/12/2000	31	12	2000	366	1	main	8	1.0000000000000000e+00	0.0000000000000000e+00	baresoil	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05700e+01	-2.89000e+00	3.48318e+02	0.00000e+00	1.54359e+02	0.00000e+00	0.00000e+00	8.35600e+01	8.35600e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.33785e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
forestry	Fri Nov 07 14:35:37 CET 2025	31/12/2000	31	12	2000	366	1	main	9	2.0000000000000000e+00	0.0000000000000000e+00	baresoil	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05700e+01	-2.89000e+00	3.48573e+02	0.00000e+00	1.54103e+02	0.00000e+00	0.00000e+00	8.35600e+01	8.35600e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.33401e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
forestry	Fri Nov 07 14:35:37 CET 2025	31/12/2001	31	12	2001	365	1	main	1	0.0000000000000000e+00	2.0000000000000000e+00	baresoil	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.01100e+01	1.35000e+00	3.78122e+02	0.00000e+00	3.63214e+02	0.00000e+00	0.00000e+00	1.15400e+02	1.15400e+02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.25151e+01	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
forestry	Fri Nov 07 14:35:37 CET 2025	31/12/2001	31	12	2001	365	1	main	2	1.0000000000000000e+00	2.0000000000000000e+00	baresoil	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.01100e+01	1.35000e+00	3.76548e+02	0.00000e+00	3.51335e+02	0.00000e+00	0.00000e+00	1.15400e+02	1.15400e+02	0.00000e+00	1.34515e+01	0.00000e+00	0.00000e+00	4.20080e+00	0.00000e+00	3.03671e+01	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
forestry	Fri Nov 07 14:35:37 CET 2025	31/12/2001	31	12	2001	365	1	main	3	2.0000000000000000e+00	2.0000000000000000e+00	baresoil	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.01100e+01	1.35000e+00	3.78127e+02	0.00000e+00	3.63209e+02	0.00000e+00	0.00000e+00	1.15400e+02	1.15400e+02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.25142e+01	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
forestry	Fri Nov 07 14:35:37 CET 2025	31/12/2001	31	12	2001	365	1	main	4	0.0000000000000000e+00	1.0000000000000000e+00	baresoil	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.01100e+01	1.35000e+00	3.77059e+02	0.00000e+00	3.50610e+02	0.00000e+00	0.00000e+00	1.15400e+02	1.15400e+02	0.00000e+00	1.36672e+01	0.00000e+00	0.00000e+00	4.20915e+00	0.00000e+00	3.03615e+01	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
